Date,Year,Observer 1,Oberver 2,Observer 3,Lek,Temperature,Wind Speed ,Percent Cloud Cover,Mist or Fog,Precipitation ,Time Observation Started,Time Observation Concluded,Maximum # of Males 0-15 Minutes,Maximum # of Males 15-30 Minutes,Maximum # of Males 30-45 Minutes,Maximum # of Males 45-60 Minutes,Maximum # of Males 60-75 Minutes,Maximum # of Males 75-90 Minutes,Maximum # of Males 90-105 Minutes,Maximum # of Males 105-120 Minutes,Maximum # of Females 0-15 Minutes,Maximum # of Females 15-30 Minutes,Maximum # of Females 30-45 Minutes,Maximum # of Females 45-60 Minutes,Maximum # of Females 60-75 Minutes,Maximum # of Females 75-90 Minutes,Maximum # of Females 90-105 Minutes,Maximum # of Females 105-120 Minutes,Maximum # of Sex Unknown 0-15 Minutes,Maximum # of Sex Unknown 15-30 Minutes,Maximum # of Sex Unknown 30-45 Minutes,Maximum # of Sex Unknown 45-60 Minutes,Maximum # of Sex Unknown 60-75 Minutes,Maximum #  of Sex Unknown 75-90 Minutes,Maximum # of Sex Unknown 90-105 Minutes,Maximum # of Sex Unknown 105-120 Minutes,Peak Male Attendance,Peak Female Attendance,Peak Sex Unknown Attendance,Audial Greater Sage-grouse Observation,Audial Sharp-tailed Grouse Observations,Audial Unknown Grouse Observations,Coyotes,Northern Harrier,Golden Eagle,Buteo species,Other,Specify Other,Strategic Annual Lek Monitoring Survey
Date,Année,Observateur 1,Observateur 2,Observateur 3,Lek,Température,Vitesse du vent,Pourcentage de la couverture nuageuse,Brume ou brouillard,Précipitation,Heure du début de l’observation ,Heure de la fin de l’observation,Nombre maximal de mâles 0-15 minutes ,Nombre maximal de mâles 15-30 minutes,Nombre maximal de mâles 30-45 minutes,Nombre maximal de mâles 45-60 minutes,Nombre maximal de mâles 60-75 minutes,Nombre maximal de mâles 75-90 minutes,Nombre maximal de mâles 90-105 minutes,Nombre maximal de mâles 105-120 minutes,Nombre maximal de femelles 0-15 minutes,Nombre maximal de femelles 15-30 minutes,Nombre maximal de femelles 30-45 minutes,Nombre maximal de femelles 45-60 minutes,Nombre maximal de femelles 60-75 minutes,Nombre maximal de femelles 75-90 minutes,Nombre maximal de femelles 90-105 minutes,Nombre maximal de femelles 105-120 minutes,Nombre maximal d’individus de sexe inconnu 0-15 minutes,Nombre maximal d’individus de sexe inconnu 15-30 minutes,Nombre maximal d’individus de sexe inconnu 30-45 minutes,Nombre maximal d’individus de sexe inconnu 45-60 minutes,Nombre maximal d’individus de sexe inconnu 60-75 minutes,Nombre maximal d’individus de sexe inconnu 75-90 minutes,Nombre maximal d’individus de sexe inconnu 90-105 minutes,Nombre maximal d’individus de sexe inconnu 105-120 minutes,Fréquentation maximale des mâles ,Fréquentation maximale des femelles,Fréquentation maximale des individus de sexe inconnu,Observation sonore de tétras des armoises,Observation sonore de tétras à queue fine,Observation sonore de tétras inconnu,Coyotes,Busard Saint-Martin,Aigle royal,Espèces de buses,Autres,Précisez autres ,Surveillance stratégique annuelle des leks
01/05/2007,2007,Nigel Finney,,,Fireguard,,2,,,,5:30,6:45,,,,,,,,,,,,,,,,,,,,,,,,,20,0,0,,,,,,,,,,
01/05/2007,2007,A. Henderson,G. Delves,,Rock Creek,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,0,,,,,,,,,,
04/04/2007,2007,Chris Reed,,,Fireguard,-12,,,,,6:00,7:25,,,,,,,,,,,,,,,,,,,,,,,,,25,18,0,,,,,,,,,,
05/04/2007,2007,Chris Reed,,,Fireguard,-9,,,,,6:10,8:40,,,,,,,,,,,,,,,,,,,,,,,,,25,18,0,,,,,,,,,,
12/04/2007,2007,Brent McDougall,,,Snake Pit,-5,10,,,,6:31,8:11,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,,,,,,,,,,
13/04/2007,2007,Rob Sissons,,,Police Coulee,-5,,,,,5:55,6:40,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
13/04/2007,2007,James,Fitzimmons,Watson,Dixon Y,-5,,,,,6:05,8:00,,,,,,,,,,,,,,,,,,,,,,,,,13,2,0,,,,,,,,,,
17/04/2007,2007,Chris Reed,,,Fireguard,0,30-40,,,,6:00,6:50,,,,,,,,,,,,,,,,,,,,,,,,,23,3,0,,,,,,,,,,
19/03/2007,2007,AH/DD,,,Dixon Y,2.7,4,85,,,7:15,8:45,,,,,,,,,,,,,,,,,,,,,,,,,13,2,0,,,,,,,,,,
